Fund ID,Department ID,Program ID,Account ID,Estimates 2022
1001,42510,101,520520,"-6,045"
1001,42510,101,520521,"-1,302,669"
1001,42510,101,520522,"-15,000"
1001,42510,101,520523,"-105,902"
1001,42510,101,520525,-
1001,42510,101,520536,-
1001,42510,101,520999,-
1001,42510,101,530660,"-65,100"
1001,42510,101,530675,-
1001,42510,101,530681,"-841,500"
1001,42510,101,550673,"-16,800"
1001,42510,101,540690,"-12,000"
1001,42510,101,560625,"-107,000"
1001,42510,101,560630,"-27,000"
1001,42510,101,560631,-
1001,42510,101,570710,"-20,000"
1001,42510,101,570720,"-21,900"
1001,42520,101,530660,"-13,500"
1001,42520,101,550601,-100
1001,42520,101,550602,"-1,000"
1001,42520,101,550673,"-2,500"
1001,42520,101,560631,"-30,500"
1001,42520,101,570710,"-6,000"
1001,42530,101,550602,"-2,400"
1001,42530,101,550673,-500
1001,42530,101,560630,"-1,000"
1001,42540,101,530650,"-50,000"
1001,42540,101,550601,-500
1001,42540,101,550602,"-1,350"
1001,42540,101,550673,"-2,000"
1001,42540,101,560630,-
1001,42540,101,560631,"-20,000"
1001,42540,101,560638,"-4,000"
1001,41040,101,510501,"-651,700"
1001,41040,101,510503,"-1,500"
1001,41040,101,510515,-
1001,41040,101,510506,"-2,000"
1001,41040,101,510509,-
1001,41040,101,510519,-
1001,41040,101,520515,-
1001,41040,101,520520,-744
1001,41040,101,520521,"-126,471"
1001,41040,101,520522,"-39,506"
1001,41040,101,520523,"-9,450"
1001,41040,101,520527,"-36,235"
1001,41040,101,530650,"-6,000"
1001,41040,101,530667,"-149,000"
1001,41040,101,540690,"-265,000"
1001,41040,101,540698,"-6,000"
1001,41040,101,540699,"-92,000"
1001,41040,101,550602,-500
1001,41040,101,550603,-400
1001,41040,721,550603,-
1001,41040,101,550605,-200
1001,41040,101,550606,-500
1001,41040,101,550663,"-159,000"
1001,41040,101,550671,-
1001,41040,101,550672,"-20,000"
1001,41040,101,560620,"-1,000"
1001,42400,101,510501,"-623,764"
1001,42400,412,510501,"-8,887,852"
1001,42400,421,510501,"-4,310,295"
1001,42400,101,510503,"-10,300"
1001,42400,412,510503,"-538,690"
1001,42400,421,510503,"-206,464"
1001,42400,101,510508,-
1001,42400,412,510508,"-150,000"
1001,42400,421,510508,"-25,000"
1001,42400,101,510514,-
1001,42400,412,510514,"-125,000"
1001,42400,421,510514,"-30,000"
1001,42400,101,510515,-
1001,42400,412,510515,-
1001,42400,421,510515,-
1001,42400,101,510509,-
1001,42400,421,510509,"-90,000"
1001,42400,412,510509,"-40,000"
1001,42400,101,510510,-
1001,42400,412,510510,"-50,000"
1001,42400,421,510510,"-30,000"
1001,42400,101,510519,-
1001,42400,412,510519,"-30,000"
1001,42400,421,510519,"-30,000"
1001,42400,101,520515,-
1001,42400,412,520515,-
1001,42400,421,520515,-
1001,42400,101,520520,-465
1001,42400,412,520520,"-9,021"
1001,42400,421,520520,"-4,371"
1001,42400,101,520521,"-80,067"
1001,42400,412,520521,"-1,461,590"
1001,42400,421,520521,"-850,494"
1001,42400,101,520522,"-8,846"
1001,42400,412,520522,"-39,666"
1001,42400,421,520522,"-33,304"
1001,42400,101,520523,"-6,819"
1001,42400,412,520523,"-128,874"
1001,42400,421,520523,"-61,013"
1001,42400,101,520524,"-7,319,950"
1001,42400,101,520527,"-7,933"
1001,42400,412,520527,"-35,571"
1001,42400,421,520527,"-32,580"
1001,42400,101,520532,-
1001,42400,101,560651,-
1001,42400,101,530642,"-5,000"
1001,42400,101,530650,"-168,080"
1001,42400,101,530657,-500
1001,42400,101,530660,"-415,650"
1001,42400,101,530667,"-139,059"
1001,42400,101,530681,"-841,500"
1001,42400,101,540659,"-10,800"
1001,42400,101,540690,"-4,000"
1001,42400,101,540699,"-6,000"
1001,42400,101,550694,"-5,000"
1001,42400,101,550697,"-8,000"
1001,42400,101,550601,"-3,000"
1001,42400,101,550602,"-7,800"
1001,42400,101,550603,"-3,000"
1001,42400,101,550605,"-1,000"
1001,42400,101,550606,-
1001,42400,101,550652,-
1001,42400,101,550656,-900
1001,42400,101,550663,-700
1001,42400,101,550673,"-1,000"
1001,42400,101,550689,"-7,000"
1001,42400,101,560616,"-4,500"
1001,42400,101,560620,"-6,500"
1001,42400,101,560625,"-23,000"
1001,42400,412,560625,"-80,000"
1001,42400,421,560625,"-30,000"
1001,42400,101,560628,"-5,000"
1001,42400,101,560631,"-58,700"
1001,42400,101,560638,"-8,500"
1001,42400,101,560642,"-3,000"
1001,42400,101,560651,"-5,500"
1001,42400,101,560655,-400
1001,42400,101,560670,-
1001,42400,101,570710,"-37,000"
1001,42400,101,570711,"-5,200"
1001,42400,101,570720,"-5,000"
1001,42400,101,570725,"-5,000"
1001,44550,101,510501,"-416,200"
1001,44550,612,510501,"-193,943"
1001,44550,613,510501,"-177,379"
1001,44550,615,510501,"-42,952"
1001,44550,101,510501,-
1001,44550,612,510503,"-5,000"
1001,44550,615,510503,-500
1001,44550,101,510999,"358,806"
1001,44550,612,510506,-882
1001,44550,613,510506,-504
1001,44550,612,510509,-
1001,44550,101,510519,-
1001,44550,613,510519,-
1001,44550,613,520515,-
1001,44550,101,520520,-465
1001,44550,612,520520,-279
1001,44550,613,520520,-147
1001,44550,615,520520,-93
1001,44550,101,520521,"-90,678"
1001,44550,612,520521,"-64,246"
1001,44550,613,520521,"-13,290"
1001,44550,615,520521,-
1001,44550,101,520522,"-25,804"
1001,44550,612,520522,"-12,024"
1001,44550,613,520522,"-10,997"
1001,44550,615,520522,"-2,663"
1001,44550,101,520523,"-6,035"
1001,44550,612,520523,"-2,812"
1001,44550,613,520523,"-2,572"
1001,44550,615,520523,-623
1001,44550,101,520527,"-23,141"
1001,44550,612,520527,"-10,377"
1001,44550,613,520527,"-9,862"
1001,44550,615,520527,"-2,388"
1001,44550,101,520999,"40,242"
1001,44550,612,530650,"-1,944"
1001,44550,613,530650,"-1,894"
1001,44550,615,530650,-500
1001,44550,101,530667,"-15,700"
1001,44550,612,530667,"-33,000"
1001,44550,613,530667,-
1001,44550,615,530667,"-127,500"
1001,44550,612,550601,-400
1001,44550,615,550601,-300
1001,44550,101,550602,-750
1001,44550,612,550602,-625
1001,44550,101,550603,-600
1001,44550,615,550603,"-2,500"
1001,44550,101,550605,-200
1001,44550,612,550605,-100
1001,44550,613,550605,-250
1001,44550,101,560620,"-1,500"
1001,44550,615,560625,-560
1001,44550,101,560631,-
1001,44550,612,560631,-500
1001,44550,613,560631,"-3,000"
1001,44550,615,560631,"-2,000"
1001,43700,101,510501,"-103,294"
1001,43700,722,510501,"-56,029"
1001,43700,723,510501,"-142,706"
1001,43700,777,510501,"-36,793"
1001,43700,101,510503,-
1001,43700,101,510515,-
1001,43700,101,510519,-
1001,43700,101,520520,-74
1001,43700,722,520520,-47
1001,43700,723,520520,-130
1001,43700,777,520520,-47
1001,43700,101,520521,"-17,196"
1001,43700,722,520521,"-11,452"
1001,43700,723,520521,"-17,602"
1001,43700,777,520521,-
1001,43700,101,520522,"-5,985"
1001,43700,722,520522,"-3,456"
1001,43700,723,520522,"-8,848"
1001,43700,777,520522,"-2,215"
1001,43700,101,520523,"-1,498"
1001,43700,722,520523,-812
1001,43700,723,520523,"-2,069"
1001,43700,777,520523,-518
1001,43700,101,520527,"-5,743"
1001,43700,722,520527,"-3,115"
1001,43700,723,520527,"-7,934"
1001,43700,777,520527,"-1,986"
1001,43700,723,530650,"-1,500"
1001,43700,101,530667,"-176,680"
1001,43700,723,530667,"-160,000"
1001,43700,722,550601,-250
1001,43700,723,550602,-940
1001,43700,101,550603,"-3,000"
1001,43700,421,550603,-
1001,43700,721,550603,-
1001,43700,722,550603,-
1001,43700,723,550603,-300
1001,43700,723,550663,"-28,898"
1001,43700,101,550671,-
1001,43700,722,550671,-
1001,43700,101,560620,-400
1001,43700,722,560620,-450
1001,43700,101,560631,-
1001,43700,101,560730,-
1001,43700,723,560730,-500
1001,43710,101,510501,"-503,186"
1001,43710,101,510503,"-3,000"
1001,43710,101,510515,-
1001,43710,101,510506,-
1001,43710,101,510509,-
1001,43710,101,520515,-
1001,43710,101,520520,-605
1001,43710,101,520521,"-62,592"
1001,43710,101,520522,"-27,869"
1001,43710,101,520523,"-7,296"
1001,43710,101,520527,"-27,977"
1001,43710,101,530650,"-5,000"
1001,43710,710,530650,-
1001,43710,101,530667,-
1001,43710,101,540690,-600
1001,43710,101,550601,-
1001,43710,101,550602,"-2,600"
1001,43710,710,550602,-500
1001,43710,101,550603,"-2,000"
1001,43710,101,550652,"-2,500"
1001,43710,101,550671,-
1001,43710,101,560620,"-4,000"
1001,43710,101,560625,-
1001,43710,101,560631,"-4,000"
1001,43710,710,560631,"-9,000"
1001,43720,101,510501,-
1001,43720,751,510501,-
1001,43720,752,510501,-
1001,43720,753,510501,-
1001,43720,101,510503,-
1001,43720,751,510503,-
1001,43720,752,510503,-
1001,43720,753,510503,-
1001,43720,101,520515,-
1001,43720,753,510519,-
1001,43720,752,510519,-
1001,43720,101,510519,-
1001,43720,751,510519,-
1001,43720,101,520520,-
1001,43720,751,520520,-
1001,43720,752,520520,-
1001,43720,753,520520,-
1001,43720,101,520521,-
1001,43720,751,520521,-
1001,43720,752,520521,-
1001,43720,753,520521,-
1001,43720,101,520522,-
1001,43720,751,520522,-
1001,43720,752,520522,-
1001,43720,753,520522,-
1001,43720,101,520523,-
1001,43720,751,520523,-
1001,43720,752,520523,-
1001,43720,753,520523,-
1001,43720,101,520527,-
1001,43720,751,520527,-
1001,43720,752,520527,-
1001,43720,753,520527,-
1001,43720,101,530650,"-3,000"
1001,43720,751,530660,"-45,000"
1001,43720,752,530660,"-10,000"
1001,43720,753,530660,"-60,000"
1001,43720,751,540692,-
1001,43720,101,550602,-200
1001,43720,101,550632,-
1001,43720,753,550671,"-2,500"
1001,43720,752,550673,"-1,000"
1001,43720,753,550673,-750
1001,43720,101,560625,"-1,700"
1001,43720,751,560631,"-1,000"
1001,43720,752,560631,"-1,000"
1001,43720,753,560631,"-1,000"
1001,43720,751,560633,"-40,000"
1001,43720,752,560633,"-10,000"
1001,43720,751,570710,-
1001,43740,101,510501,"-183,103"
1001,43740,761,510501,-
